bench,instance_id,original_inst_id,language,status,patch_files,patch_blocks,patch_span,gold_context_length,num_agents,repo,commit
Multi,Multi-SWE-Bench__javascript__maintenance__bugfix__72488b59,iamkun__dayjs-734,javascript,pass,1.0,1.0,10.0,19139,4,,9ad2e47e0569b23991bb0d5578f49c792c12df08
Multi,Multi-SWE-Bench__javascript__maintenance__bugfix__3d84a3a4,iamkun__dayjs-882,javascript,pass,1.0,2.0,21.0,6822,0,,bcea06730da2d19ddbad844de3557ee077af821c
Multi,Multi-SWE-Bench__typescript__maintenance__bugfix__1ac0bb81,mui__material-ui-33692,typescript,pass,1.0,1.0,2.0,24544,3,,6a96f9ca2297c1293cf1c5b96cb0de255d2f4a8a
Multi,Multi-SWE-Bench__c__maintenance__bugfix__5dc9809e,ponylang__ponyc-1057,c,pass,1.0,1.0,21.0,56922,0,,0c88dd775087f862f103faacdf569e57644e4ce0
Multi,Multi-SWE-Bench__c__maintenance__bugfix__8f9042e3,ponylang__ponyc-2532,c,pass,1.0,1.0,23.0,60900,2,,d34dce667accf0797f0afcc5e04fd0605d1ad82e
Multi,Multi-SWE-Bench__typescript__maintenance__bugfix__2fb50735,darkreader__darkreader-7241,typescript,pass,1.0,1.0,2.0,12000,13,,991883df4d5910851130e3dc0e21fcbce604ea7d
Multi,Multi-SWE-Bench__rust__maintenance__bugfix__37f525d2,clap-rs__clap-3421,rust,pass,1.0,1.0,7.0,51919,2,,15f01789d2a6b8952a01a8a3881b94aed4a44f4c
Multi,Multi-SWE-Bench__go__maintenance__bugfix__2a889a1d,cli__cli-1387,go,pass,1.0,3.0,20.0,9262,7,,eb1b9122d8d7984fc33656e5ef90bb5b2b29e9df
Multi,Multi-SWE-Bench__typescript__maintenance__bugfix__05c9e61e,mui__material-ui-23884,typescript,pass,1.0,1.0,1.0,14761,12,,194670d1cab86a764398648f136949a003b0c8b0
Multi,Multi-SWE-Bench__javascript__maintenance__bugfix__1081c568,sveltejs__svelte-11913,javascript,pass,1.0,1.0,1.0,41248,7,,ca6e9b5745e80b544c404bb74a968b68aea59c40
Multi,Multi-SWE-Bench__rust__maintenance__bugfix__d3133dfb,clap-rs__clap-4248,rust,pass,1.0,1.0,24.0,45321,5,,8e510650a98a528d3c016cfdfddbe67ae3a470a5
Multi,Multi-SWE-Bench__javascript__maintenance__bugfix__eea782b2,iamkun__dayjs-1611,javascript,pass,1.0,2.0,65.0,18420,8,,f68e4b1a29fc33542f74cde10ec6d9fb045ca37e
Multi,Multi-SWE-Bench__c__maintenance__bugfix__45da4482,ponylang__ponyc-3962,c,pass,1.0,2.0,4.0,11949,0,,12466227bb253b600b7a3ee995b56b442d02b6e2
Multi,Multi-SWE-Bench__go__maintenance__bugfix__ff0cfab5,cli__cli-7645,go,pass,1.0,1.0,12.0,16825,9,,d21c11d774df552b9c36d3d35aa8eb12e5aebd55
Multi,Multi-SWE-Bench__rust__maintenance__bugfix__3be02163,clap-rs__clap-3420,rust,pass,2.0,3.0,6.0,45000,0,,135b15467eda2394b017f2a7d25cda1417c0feec
Multi,Multi-SWE-Bench__rust__maintenance__bugfix__2dc6f037,clap-rs__clap-2501,rust,pass,1.0,1.0,4.0,57293,0,,750aba282f1ad4ed623ef32dfe9fb04588e6dd42
Multi,Multi-SWE-Bench__typescript__maintenance__bugfix__7958c8a7,mui__material-ui-35086,typescript,pass,1.0,1.0,3.0,27049,1,,b144a55f0ff8c2d45db00698fff2b0a077d2e619
Multi,Multi-SWE-Bench__typescript__maintenance__bugfix__41a5a6f5,mui__material-ui-34229,typescript,pass,1.0,3.0,6.0,41620,2,,fa62bf35e109ede215cb8cbae66ba4d6a30fef60
Multi,Multi-SWE-Bench__typescript__maintenance__bugfix__9bdfae2c,mui__material-ui-38100,typescript,pass,1.0,1.0,1.0,15534,9,,0f8eb07edbf21c585faf4803ab0122f23efbb2c7
Multi,Multi-SWE-Bench__go__maintenance__bugfix__8d23605c,cli__cli-1580,go,pass,1.0,1.0,12.0,30148,6,,727b72666713909d318f24f03065ce2e488566d5
Multi,Multi-SWE-Bench__rust__maintenance__bugfix__908342f0,clap-rs__clap-4474,rust,pass,1.0,1.0,2.0,33613,15,,4d69e56f06d66ff5215a900dc42809d34a2d4184
Multi,Multi-SWE-Bench__go__maintenance__bugfix__3da242a2,cli__cli-10048,go,pass,2.0,2.0,8.0,35670,2,,8288011149e71d5658b80ebef393522ba2d0e7cc
Multi,Multi-SWE-Bench__go__maintenance__bugfix__250649eb,cli__cli-3832,go,pass,2.0,2.0,7.0,23451,5,,aecfc01e6911e0ed58e91f5072305f5441cc76fe
Multi,Multi-SWE-Bench__go__maintenance__bugfix__4d9664f3,cli__cli-5047,go,pass,2.0,2.0,7.0,21927,3,,583af3e54c506fa1c0e6bc673c2c62a7e6303660
Multi,Multi-SWE-Bench__typescript__maintenance__bugfix__3cb539ec,mui__material-ui-34337,typescript,pass,1.0,1.0,2.0,68778,3,,b3548fabeab1980d3c5e5b85945550df95ee6b82
Multi,Multi-SWE-Bench__rust__maintenance__bugfix__1cadcb7d,tokio-rs__tracing-1236,rust,pass,1.0,1.0,2.0,27147,16,,4609f22aff1ad88b81e749e2536761d6ee364d1f
Multi,Multi-SWE-Bench__javascript__maintenance__bugfix__bb727b6d,sveltejs__svelte-13097,javascript,pass,1.0,1.0,20.0,24123,3,,cf6b64c6c0220068abb2843fea78b125b8767f44
Multi,Multi-SWE-Bench__typescript__maintenance__bugfix__2aa6fa4c,vuejs__core-11201,typescript,pass,1.0,1.0,21.0,24129,5,,582cd2e9bc21b8d9b695dc0ad28f96cc88d8f0cf
Multi,Multi-SWE-Bench__typescript__maintenance__bugfix__6f9b5ff2,mui__material-ui-38188,typescript,pass,1.0,2.0,4.0,49462,1,,bca4565b43b4166f422aa4ba5d8399bb054bef66
Multi,Multi-SWE-Bench__go__maintenance__bugfix__0498ad7f,cli__cli-2785,go,pass,1.0,1.0,23.0,30689,12,,bdce08a793abe4744c02d537e37c9ba63601a849
Multi,Multi-SWE-Bench__typescript__maintenance__bugfix__4c3f5d3d,mui__material-ui-34437,typescript,pass,1.0,1.0,2.0,48344,12,,d9e863562f735bc798adfe20a63faa919a4fddd4
Multi,Multi-SWE-Bench__typescript__maintenance__bugfix__5eee261d,vuejs__core-9572,typescript,pass,1.0,1.0,16.0,11449,1,,f6babf32363185ff3ab3512d952a8a9aa9603762
Multi,Multi-SWE-Bench__go__maintenance__bugfix__6d48775e,cli__cli-4253,go,pass,1.0,1.0,18.0,19051,11,,e6ff77ce73c201b0ee36d2b802ea45e9e1ad1822
Multi,Multi-SWE-Bench__c__maintenance__bugfix__538e9f59,jqlang__jq-1793,c,pass,1.0,1.0,18.0,24556,16,,4b4fefa254346524c787b862e35e4fbb70e01e95
Multi,Multi-SWE-Bench__typescript__maintenance__bugfix__ff629f34,vuejs__core-11899,typescript,pass,1.0,1.0,19.0,33879,1,,d0b513eb463f580e29378e43d112ff6859aa366e
Multi,Multi-SWE-Bench__typescript__maintenance__bugfix__898aa1de,mui__material-ui-39775,typescript,pass,1.0,1.0,7.0,29480,4,,6b9cee5d523304e0a8f3c8fd93a380d27be1df76
Multi,Multi-SWE-Bench__cpp__maintenance__bugfix__e43d9aa5,catchorg__Catch2-1608,cpp,pass,2.0,2.0,38.0,16394,0,,979bbf03bb00bc55ca09783791b5091a2247df68
Multi,Multi-SWE-Bench__typescript__maintenance__bugfix__c8b82135,vuejs__core-8538,typescript,pass,1.0,1.0,10.0,69507,3,,0e63cbfaf57979e2c6fcfa986281c7521d82d893
Multi,Multi-SWE-Bench__java__maintenance__bugfix__747c7f60,google__gson-1391,java,pass,1.0,4.0,12.0,23650,11,,3f4ac29f9112799a7374a99b18acabd0232ff075
Multi,Multi-SWE-Bench__typescript__maintenance__bugfix__04b981d7,mui__material-ui-36659,typescript,pass,1.0,1.0,5.0,42311,3,,0ba283880545390fc6408e408dcde93ed5de178c
Multi,Multi-SWE-Bench__go__maintenance__bugfix__3d1b3145,cli__cli-7180,go,pass,1.0,1.0,26.0,9615,9,,41a457136e3134e5b5e6c17cba2704309ac609bb
Multi,Multi-SWE-Bench__go__maintenance__bugfix__4606de0b,cli__cli-3982,go,pass,1.0,1.0,3.0,8483,11,,a6710ec5064995aadd18da5808c8c4ff41a8199c
Multi,Multi-SWE-Bench__typescript__maintenance__bugfix__54ebe590,vuejs__core-10289,typescript,pass,1.0,1.0,5.0,17259,14,,75e02b5099a08166bdf407127916734c48209ee9
Multi,Multi-SWE-Bench__c__maintenance__bugfix__634fe9b8,ponylang__ponyc-2586,c,pass,1.0,1.0,13.0,40876,3,,3ed6c09a5f410351cb0eb9eb545eae9114cbb065
Multi,Multi-SWE-Bench__typescript__maintenance__bugfix__1ff281e5,mui__material-ui-31998,typescript,pass,1.0,1.0,10.0,44934,0,,5b53f5efe691a76630e479245e5be0f91371f691
Multi,Multi-SWE-Bench__c__maintenance__bugfix__d22bf206,ponylang__ponyc-1486,c,pass,1.0,2.0,36.0,54996,0,,336000f438564ca2863d32685964ccd23ec9d174
Multi,Multi-SWE-Bench__typescript__maintenance__bugfix__8d2ac221,vuejs__core-11338,typescript,pass,1.0,1.0,5.0,52072,0,,314ce82e479dbb33a9281ba8c2ebe288536b32df
