bench,instance_id,original_inst_id,language,status,patch_files,patch_blocks,patch_span,gold_context_length,num_agents,repo,commit
Poly,SWE-PolyBench__python__maintenance__bugfix__8c189fda,keras-team__keras-18553,mixed,pass,1.0,6.0,6.0,2613.0,0,,c8a5a8969a8712a9a1939937ce34158e04cfc09d
Poly,SWE-PolyBench__python__evolution__feature__674464fb,huggingface__transformers-28517,mixed,pass,1.0,4.0,34.0,1408.0,0,,edb170238febf7fc3e3278ed5b9ca0b2c40c70e3
Poly,SWE-PolyBench__python__maintenance__bugfix__84e0afe2,huggingface__transformers-24238,mixed,pass,1.0,2.0,6.0,702.0,0,,d7389cd20168052e5fc7abe0cf31cd1eb960fbc9
Poly,SWE-PolyBench__python__maintenance__bugfix__52a91dd8,langchain-ai__langchain-5609,mixed,pass,2.0,2.0,47.0,2421.0,0,,28d6277396013a16613008647c312bbd6c4623cc
Poly,SWE-PolyBench__python__maintenance__bugfix__24342259,keras-team__keras-19484,mixed,pass,1.0,1.0,2.0,254.0,0,,6a9bc4c051f0e4ee5e4ff48f08fd14230036dc46
Poly,SWE-PolyBench__python__maintenance__bugfix__14ce2fa9,huggingface__transformers-23223,mixed,pass,3.0,4.0,46.0,1706.0,0,,9088fcae82f4e23021e600966626188ce6fbe6df
Poly,SWE-PolyBench__python__maintenance__bugfix__ea5a4764,keras-team__keras-19775,mixed,pass,1.0,1.0,4.0,912.0,0,,a243d91e43b4c43fe8d184b541b608b6ddd80f71
Poly,SWE-PolyBench__python__evolution__feature__4a329645,huggingface__transformers-15795,mixed,pass,1.0,6.0,41.0,5619.0,0,,8481ecefbd7e701bc061b321cb1695d16eac95a9
Poly,SWE-PolyBench__python__evolution__feature__b4302840,huggingface__transformers-21768,mixed,pass,1.0,8.0,157.0,4347.0,0,,99ba36e72fe7d1528e2c6572373a425967ee544f
Poly,SWE-PolyBench__python__maintenance__bugfix__380568e9,keras-team__keras-19636,mixed,pass,1.0,3.0,14.0,1055.0,0,,880f0cdd67591474d8ed98a6b192655322b7ecfc
Poly,SWE-PolyBench__python__maintenance__bugfix__b01e9113,huggingface__transformers-29449,mixed,pass,1.0,2.0,22.0,2676.0,0,,17b06e2c6650de162e7954babf6224c1975c2852
Poly,SWE-PolyBench__python__maintenance__bugfix__faa6b3ac,huggingface__transformers-3716,mixed,pass,2.0,3.0,14.0,2049.0,0,,f8208fa456039b46873a2e497b6318d30a4fc84e
Poly,SWE-PolyBench__python__maintenance__bugfix__2f88019c,huggingface__transformers-8624,mixed,pass,1.0,1.0,8.0,742.0,0,,cdfa56afe02c3ed5d2b86498515cfddf82d56f2c
Poly,SWE-PolyBench__python__maintenance__bugfix__70acfaad,huggingface__transformers-29311,mixed,pass,1.0,3.0,12.0,474.0,0,,b27aa206ddf3fe66b36db587603141b3d0379a82
Poly,SWE-PolyBench__python__maintenance__bugfix__dbd7cde5,huggingface__transformers-12981,mixed,pass,1.0,1.0,2.0,208.0,0,,75b8990d9068a2c6ef448c190f2595c17fbcb993
Poly,SWE-PolyBench__python__maintenance__bugfix__2a9201a9,huggingface__transformers-30556,mixed,pass,2.0,2.0,13.0,958.0,0,,a3aabc702e1c49243e7b48f22d88362d50e786c5
Poly,SWE-PolyBench__python__maintenance__bugfix__5acd9675,huggingface__transformers-16198,mixed,fail2pass,1.0,3.0,26.0,410.0,0,,d35e0c62477d8a99baca3d2ae2e64ec62b64527c
Poly,SWE-PolyBench__python__evolution__feature__c0e4893c,huggingface__transformers-23126,mixed,pass,1.0,3.0,10.0,924.0,0,,b61d5b47f640308068139561f673765b2af39874
Poly,SWE-PolyBench__python__maintenance__bugfix__9ea927ce,yt-dlp__yt-dlp-9862,mixed,pass,1.0,2.0,3.0,1903.0,0,,39bc699d2e6e39b26af028cc09a7b1d460d00e31
Poly,SWE-PolyBench__python__maintenance__bugfix__aaf309d2,langchain-ai__langchain-4009,mixed,pass,1.0,3.0,33.0,2652.0,0,,aa383559999b3d6a781c62ed7f8589fef8892879
Poly,SWE-PolyBench__python__maintenance__bugfix__2b00c0d1,huggingface__transformers-26839,mixed,pass,1.0,1.0,13.0,4591.0,0,,d7cb5e138ec1ccc848a554574b1a89f0dfaf0e90
Poly,SWE-PolyBench__python__maintenance__bugfix__8b1080ea,keras-team__keras-19863,mixed,fail2pass,1.0,1.0,48.0,499.0,0,,f6cf6a0e77dd504cfc35dd499dd8694b0b80b4ae
Poly,SWE-PolyBench__python__maintenance__bugfix__64a006b0,keras-team__keras-19844,mixed,pass,2.0,2.0,3.0,318.0,0,,1c60668f6bdd05dab619806e7b2dc25d3ed4ccbf
Poly,SWE-PolyBench__python__maintenance__bugfix__453fb844,huggingface__transformers-13693,mixed,pass,1.0,2.0,21.0,1280.0,0,,8e908c8c74f556a82534f4cf1e7a1b4f7b55d24c
Poly,SWE-PolyBench__python__maintenance__bugfix__e3c9c53c,huggingface__transformers-15158,mixed,pass,1.0,1.0,2.0,612.0,0,,c4f7eb124b218741d66dd1d86b5d744024a78f6f
Poly,SWE-PolyBench__python__maintenance__bugfix__3f3ff585,keras-team__keras-19201,mixed,pass,1.0,1.0,6.0,373.0,0,,ec67b760ba25e1ccc392d288f7d8c6e9e153eea2
Poly,SWE-PolyBench__python__maintenance__bugfix__9ff56151,huggingface__transformers-17082,mixed,pass,3.0,3.0,8.0,1057.0,0,,d76d2a2af7babf73d6c5bc53facaccab05e912f8
Poly,SWE-PolyBench__python__maintenance__bugfix__158909b8,huggingface__transformers-28071,mixed,pass,1.0,4.0,46.0,1303.0,0,,43ee58588be4dc754c9f0dea874437fe7201bf00
Poly,SWE-PolyBench__python__maintenance__bugfix__3bb9721e,huggingface__transformers-23796,mixed,pass,2.0,2.0,5.0,856.0,0,,de9255de27abfcae4a1f816b904915f0b1e23cd9
Poly,SWE-PolyBench__python__maintenance__bugfix__214ce29d,huggingface__transformers-7078,mixed,pass,1.0,5.0,10.0,1233.0,0,,4cbd50e611e5bace6ba81d7bb7e730852bb09142
Poly,SWE-PolyBench__python__maintenance__bugfix__40f09c26,huggingface__transformers-28535,mixed,pass,1.0,2.0,11.0,930.0,0,,07ae53e6e77ec6ff4fb25fbacfec4b11cfc82749
Poly,SWE-PolyBench__typescript__maintenance__bugfix__6da325be,mui__material-ui-13778,mixed,pass,1.0,1.0,2.0,273.0,0,,550e949bab55d3fe3f3aba04f76baa7e45d324cc
Poly,SWE-PolyBench__javascript__maintenance__bugfix__10ab7842,prettier__prettier-361,mixed,pass,1.0,1.0,6.0,183.0,0,,237e6f44bc75269b96b31541c4a06ad293a591dd
Poly,SWE-PolyBench__javascript__maintenance__bugfix__d3babcfe,sveltejs__svelte-1227,mixed,pass,1.0,1.0,13.0,298.0,0,,dc4fdcf77e6156da9579c03d83668f86b5a54c1a
Poly,SWE-PolyBench__javascript__maintenance__bugfix__4d090fc6,serverless__serverless-2576,mixed,pass,1.0,2.0,12.0,1796.0,0,,5d4003dbad6f3bd07d98ff5d835ddbaa6b093724
Poly,SWE-PolyBench__javascript__maintenance__bugfix__3b6e6f3a,prettier__prettier-8046,mixed,pass,1.0,1.0,21.0,285.0,0,,19545e049ea424273fb6d647eefd1787d998b333
Poly,SWE-PolyBench__typescript__maintenance__bugfix__27393dd8,mui__material-ui-19121,mixed,pass,1.0,1.0,33.0,438.0,0,,c99bd0dbbfdc72e2e5e1805367cc9a42ff393e3c
Poly,SWE-PolyBench__javascript__maintenance__bugfix__8cc426dd,sveltejs__svelte-3451,mixed,pass,1.0,1.0,13.0,311.0,0,,64c56eddcd76d2f88bb2c42488f4b5d8df48a54d
Poly,SWE-PolyBench__javascript__maintenance__bugfix__a65e43ee,serverless__serverless-5571,mixed,pass,1.0,1.0,2.0,168.0,0,,fa4ef1159a36355799bba0ace606d3625dd1c24e
Poly,SWE-PolyBench__javascript__maintenance__bugfix__e21304a6,sveltejs__svelte-907,mixed,pass,1.0,2.0,9.0,804.0,0,,1dad8f1936c5ac974854930b32814db907528f56
Poly,SWE-PolyBench__javascript__maintenance__bugfix__f4541fb1,serverless__serverless-3457,mixed,pass,1.0,1.0,6.0,198.0,0,,fea269947104889165e3ebb0f64638921caf2052
Poly,SWE-PolyBench__typescript__maintenance__bugfix__4f3cb6be,microsoft__vscode-135197,mixed,pass,1.0,1.0,4.0,390.0,0,,a993ada9300a531c09dfa6a1be772b1abc1492ad
Poly,SWE-PolyBench__javascript__maintenance__bugfix__e647c8ce,sveltejs__svelte-4288,mixed,pass,2.0,2.0,5.0,780.0,0,,e4460e38ba58d5209514f0fa93dc61b6bb1ebb54
Poly,SWE-PolyBench__javascript__maintenance__bugfix__9d623e73,sveltejs__svelte-728,mixed,pass,1.0,1.0,3.0,116.0,0,,5c4905a595ece6885dfed8c44b26be544130b6a6
Poly,SWE-PolyBench__typescript__maintenance__bugfix__0307e40c,mui__material-ui-15526,mixed,pass,1.0,1.0,13.0,397.0,0,,6ef44f1cf8fdd8c8670a25cbd4c16a54c332198f
Poly,SWE-PolyBench__typescript__maintenance__bugfix__48468065,microsoft__vscode-160342,mixed,pass,1.0,1.0,6.0,341.0,0,,440e61ffab2ba257f30852940fdce18a48a168ea
Poly,SWE-PolyBench__javascript__maintenance__bugfix__59dd675b,serverless__serverless-7374,mixed,pass,1.0,1.0,3.0,148.0,0,,8518000d4fbf3a6cf0a6e2f81bd6421e017a1b5f
Poly,SWE-PolyBench__typescript__maintenance__bugfix__2bfb742a,mui__material-ui-20252,mixed,pass,1.0,2.0,5.0,2011.0,0,,5a794bd4974b02536b59d09029b12b4e76824301
Poly,SWE-PolyBench__javascript__maintenance__bugfix__63513ada,sveltejs__svelte-3749,mixed,pass,3.0,4.0,23.0,1335.0,0,,8d7d0ff7dd7b248ca6d9b6b4cac098430c6e6ffa
Poly,SWE-PolyBench__javascript__maintenance__bugfix__c017c9ba,prettier__prettier-6604,mixed,pass,2.0,2.0,4.0,696.0,0,,affa24ce764bd14ac087abeef0603012f5c635d6
Poly,SWE-PolyBench__javascript__maintenance__bugfix__c26fd1ab,sveltejs__svelte-3949,mixed,pass,2.0,2.0,4.0,410.0,0,,39bbac4393d2845989601e216a5d0b4579e1983f
Poly,SWE-PolyBench__typescript__maintenance__bugfix__2d1b4a72,mui__material-ui-18141,mixed,pass,3.0,7.0,19.0,1195.0,0,,13b3a0d31947ccdb20108febb5432d4f46f5a677
Poly,SWE-PolyBench__typescript__maintenance__bugfix__52180d42,mui__material-ui-18257,mixed,pass,1.0,1.0,2.0,200.0,0,,b29c294f55f0dca2af0c8438b86961a8c8534516
Poly,SWE-PolyBench__javascript__maintenance__bugfix__1ad00901,sveltejs__svelte-510,mixed,pass,1.0,1.0,6.0,513.0,0,,4012414fa733628bb029be39195a278301da46be
Poly,SWE-PolyBench__javascript__maintenance__bugfix__7e3e2bb9,sveltejs__svelte-3702,mixed,pass,1.0,1.0,24.0,471.0,0,,565931dff957545bf1b8a9ea57cfc097ed1a7e83
Poly,SWE-PolyBench__javascript__maintenance__bugfix__78039f77,sveltejs__svelte-1310,mixed,pass,1.0,1.0,6.0,274.0,0,,b4ade9d4b2e32657bbc95b4cdbfcd2322a8bdbef
Poly,SWE-PolyBench__typescript__maintenance__bugfix__2487b02a,microsoft__vscode-177084,mixed,pass,2.0,2.0,6.0,826.0,0,,384b03f26310fc3c4ea86156b7c6aefb431d594f
Poly,SWE-PolyBench__typescript__maintenance__bugfix__2bb4ea7a,mui__material-ui-11451,mixed,pass,1.0,3.0,10.0,405.0,0,,04fae47c2a876f38aacfae866d220ddcbb7358ef
Poly,SWE-PolyBench__typescript__evolution__feature__d520ba22,mui__material-ui-28813,mixed,pass,3.0,6.0,28.0,3657.0,0,,182d4dc7726f6d77f0ca3863ca6fcdf9eec23a23
