bench,instance_id,original_inst_id,language,status,patch_files,patch_blocks,patch_span,gold_context_length,num_agents,repo,commit
Pro,SWE-Bench-Pro__python__maintenance__bugfix__512d556b,instance_ansible__ansible-fb144c44144f8bd3542e71f5db62b6d322c7bd85-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,mixed,pass,2.0,5.0,21.0,3245.0,0,,662d34b9a7a1b3ab1d4847eeaef201a005826aef
Pro,SWE-Bench-Pro__python__maintenance__bugfix__81c5c6fa,instance_internetarchive__openlibrary-757fcf46c70530739c150c57b37d6375f155dc97-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,mixed,pass,4.0,10.0,85.0,3350.0,0,,34099a36bcd3e9f33e169beb06f64dfab81c2cde
Pro,SWE-Bench-Pro__python__maintenance__bugfix__89932d58,instance_qutebrowser__qutebrowser-bedc9f7fadf93f83d8dee95feeecb9922b6f063f-v2ef375ac784985212b1805e1d0431dc8f1b3c171,mixed,pass,4.0,7.5,158.5,4653.0,0,,0e624e64695e8f566c7391f65f737311aeb6b2eb
Pro,SWE-Bench-Pro__python__maintenance__bugfix__ab946da6,instance_internetarchive__openlibrary-60725705782832a2cb22e17c49697948a42a9d03-v298a7a812ceed28c4c18355a091f1b268fe56d86,mixed,pass,1.0,1.0,32.5,3070.0,0,,73e4b70aa3adafbbf44e7942b5bf9efabce70447
Pro,SWE-Bench-Pro__python__maintenance__bugfix__1bb5c0b0,instance_ansible__ansible-5260527c4a71bfed99d803e687dd19619423b134-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,mixed,pass,3.0,7.0,37.0,1425.0,0,,bf98f031f3f5af31a2d78dc2f0a58fe92ebae0bb
Pro,SWE-Bench-Pro__python__maintenance__bugfix__1cae51cc,instance_ansible__ansible-b2a289dcbb702003377221e25f62c8a3608f0e89-v173091e2e36d38c978002990795f66cfc0af30ad,mixed,pass,8.0,19.0,107.0,8496.0,0,,6382ea168a93d80a64aab1fbd8c4f02dc5ada5bf
Pro,SWE-Bench-Pro__python__maintenance__bugfix__9c878ad5,instance_ansible__ansible-0fd88717c953b92ed8a50495d55e630eb5d59166-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,mixed,pass,2.0,4.5,39.0,2818.0,0,,016b7f71b10539c90ddbb3246f19f9cbf0e65428
Pro,SWE-Bench-Pro__python__maintenance__bugfix__07bb383a,instance_ansible__ansible-f8ef34672b961a95ec7282643679492862c688ec-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,mixed,pass,6.0,9.0,37.0,3746.0,0,,e889b1063f60f6b99f5d031f7e903f7be5f58900
Pro,SWE-Bench-Pro__python__maintenance__bugfix__4c132bfd,instance_ansible__ansible-e9e6001263f51103e96e58ad382660df0f3d0e39-v30a923fb5c164d6cd18280c02422f75e611e8fb2,mixed,pass,1.0,5.0,94.0,4469.0,0,,bddb9a7490b5e9475d0d01a8d906332e81789cde
Pro,SWE-Bench-Pro__python__maintenance__bugfix__0c4f8d13,instance_ansible__ansible-1a4644ff15355fd696ac5b9d074a566a80fe7ca3-v30a923fb5c164d6cd18280c02422f75e611e8fb2,mixed,pass,1.0,4.5,44.5,6509.0,0,,1503805b703787aba06111f67e7dc564e3420cad
Pro,SWE-Bench-Pro__python__maintenance__bugfix__e2b70931,instance_ansible__ansible-5640093f1ca63fd6af231cc8a7fb7d40e1907b8c-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,mixed,pass,4.0,5.0,63.0,1972.0,0,,a5a13246ce02fd4c4ce997627b4f42152e59d288
