bench,instance_id,original_inst_id,language,status,patch_files,patch_blocks,patch_span,gold_context_length,num_agents,repo,commit
Verified,SWE-Bench-Verified__python__maintenance__bugfix__27320d49,scikit-learn__scikit-learn-25232,python,pass,1.0,5.0,11.0,1287.0,86,,f7eea978097085a6781a0e92fc14ba7712a52d75
Verified,SWE-Bench-Verified__python__maintenance__bugfix__e09a2d75,sympy__sympy-13551,python,pass,1.0,1.0,7.0,369.0,44,,9476425b9e34363c2d9ac38e9f04aa75ae54a775
Verified,SWE-Bench-Verified__python__maintenance__bugfix__ac705f35,django__django-14434,python,pass,1.0,1.0,2.0,865.0,80,,5e04e84d67da8163f365e9f5fcd169e2630e2873
Verified,SWE-Bench-Verified__python__maintenance__bugfix__bc1c666f,sympy__sympy-12489,python,pass,1.0,20.0,51.0,6302.0,15,,aa9780761ad8c3c0f68beeef3a0ce5caac9e100b
Verified,SWE-Bench-Verified__python__maintenance__bugfix__0006beec,django__django-14765,python,pass,1.0,1.0,5.0,444.0,104,,4e8121e8e42a24acc3565851c9ef50ca8322b15c
Verified,SWE-Bench-Verified__python__maintenance__bugfix__e5a3bf2a,astropy__astropy-14539,python,pass,1.0,1.0,2.0,253.0,84,,c0a24c1dc957a3b565294213f435fefb2ec99714
Verified,SWE-Bench-Verified__python__maintenance__bugfix__cecff61c,django__django-16819,python,pass,1.0,1.0,9.0,189.0,89,,0b0998dc151feb77068e2387c34cc50ef6b356ae
Verified,SWE-Bench-Verified__python__maintenance__bugfix__986c9e85,django__django-12193,python,pass,1.0,1.0,3.0,285.0,61,,3fb7c12158a2402f0f80824f6778112071235803
Verified,SWE-Bench-Verified__python__maintenance__bugfix__91e36e16,sympy__sympy-21847,python,pass,1.0,2.0,4.0,598.0,99,,d9b18c518d64d0ebe8e35a98c2fb519938b9b151
Verified,SWE-Bench-Verified__python__maintenance__bugfix__f8da42bc,django__django-13449,python,pass,1.0,1.0,42.0,394.0,65,,2a55431a5678af52f669ffe7dff3dd0bd21727f8
Verified,SWE-Bench-Verified__python__maintenance__bugfix__0f3c174a,sphinx-doc__sphinx-8638,python,pass,1.0,1.0,2.0,407.0,10,,4b452338f914d4f6b54704222d70ae8a746e3db5
Verified,SWE-Bench-Verified__python__maintenance__bugfix__60bc9e86,django__django-15863,python,pass,1.0,1.0,2.0,174.0,92,,37c5b8c07be104fd5288cd87f101e48cb7a40298
Verified,SWE-Bench-Verified__python__maintenance__bugfix__31d4fe9d,django__django-14539,python,pass,1.0,1.0,5.0,376.0,89,,6a5ef557f80a8eb6a758ebe99c8bb477ca47459e
Verified,SWE-Bench-Verified__python__maintenance__bugfix__90f381a2,django__django-12858,python,pass,1.0,1.0,2.0,352.0,78,,f2051eb8a7febdaaa43bd33bf5a6108c5f428e59
Verified,SWE-Bench-Verified__python__maintenance__bugfix__497d4650,matplotlib__matplotlib-26342,python,pass,1.0,2.0,6.0,352.0,90,,2aee6ccd7c7e1f8d282c1e7579f4ee546b838542
Verified,SWE-Bench-Verified__python__maintenance__bugfix__abb9b8b0,pytest-dev__pytest-10081,python,pass,1.0,1.0,2.0,443.0,83,,da9a2b584eb7a6c7e924b2621ed0ddaeca0a7bea
Verified,SWE-Bench-Verified__python__maintenance__bugfix__05a89a66,django__django-13109,python,pass,1.0,1.0,2.0,301.0,106,,fbe82f82555bc25dccb476c749ca062f0b522be3
Verified,SWE-Bench-Verified__python__maintenance__bugfix__4f88ede2,scikit-learn__scikit-learn-15100,python,pass,1.0,1.0,5.0,289.0,103,,af8a6e592a1a15d92d77011856d5aa0ec4db4c6c
Verified,SWE-Bench-Verified__python__maintenance__bugfix__15e5aaa3,sympy__sympy-21930,python,pass,1.0,3.0,9.0,569.0,0,,de446c6d85f633271dfec1452f6f28ea783e293f
Verified,SWE-Bench-Verified__python__maintenance__bugfix__09457b9b,matplotlib__matplotlib-25332,python,pass,1.0,1.0,24.0,191.0,59,,66ba515e671638971bd11a34cff12c107a437e0b
Verified,SWE-Bench-Verified__python__maintenance__bugfix__3f745086,django__django-15987,python,pass,1.0,1.0,2.0,383.0,76,,7e6b537f5b92be152779fc492bb908d27fe7c52a
Verified,SWE-Bench-Verified__python__maintenance__bugfix__cb2c6ff3,pydata__xarray-7233,python,pass,1.0,1.0,4.0,274.0,96,,51d37d1be95547059251076b3fadaa317750aab3
Verified,SWE-Bench-Verified__python__maintenance__bugfix__a375715a,sympy__sympy-22456,python,pass,1.0,4.0,12.0,808.0,83,,a3475b3f9ac662cd425157dd3bdb93ad7111c090
Verified,SWE-Bench-Verified__python__maintenance__bugfix__a14d0e2e,matplotlib__matplotlib-24570,python,pass,1.0,1.0,4.0,370.0,76,,8f0003ae902952372824c9917975fb372c026a42
Verified,SWE-Bench-Verified__python__maintenance__bugfix__02b5862c,django__django-7530,python,pass,1.0,1.0,2.0,379.0,93,,f8fab6f90233c7114d642dfe01a4e6d4cb14ee7d
Verified,SWE-Bench-Verified__python__maintenance__bugfix__55a3ef80,django__django-11163,python,pass,1.0,1.0,2.0,276.0,106,,e6588aa4e793b7f56f4cadbfa155b581e0efc59a
Verified,SWE-Bench-Verified__python__maintenance__bugfix__4f130690,scikit-learn__scikit-learn-10844,python,pass,1.0,1.0,2.0,432.0,109,,97523985b39ecde369d83352d7c3baf403b60a22
Verified,SWE-Bench-Verified__python__maintenance__bugfix__4fb8fc10,django__django-16429,python,pass,1.0,1.0,2.0,101.0,105,,6c86495bcee22eac19d7fb040b2988b830707cbd
Verified,SWE-Bench-Verified__python__maintenance__bugfix__8971eeba,scikit-learn__scikit-learn-14983,python,pass,1.0,2.0,9.0,450.0,42,,06632c0d185128a53c57ccc73b25b6408e90bb89
Verified,SWE-Bench-Verified__python__maintenance__bugfix__42c77239,pydata__xarray-2905,python,fail2pass,1.0,1.0,7.0,241.0,71,,7c4e2ac83f7b4306296ff9b7b51aaf016e5ad614
Verified,SWE-Bench-Verified__python__maintenance__bugfix__4b691a35,django__django-17087,python,pass,1.0,1.0,2.0,253.0,76,,4a72da71001f154ea60906a2f74898d32b7322a7
Verified,SWE-Bench-Verified__python__maintenance__bugfix__a7a5e8ed,django__django-14349,python,pass,1.0,2.0,5.0,482.0,97,,a708f39ce67af174df90c5b5e50ad1976cec7cb8
Verified,SWE-Bench-Verified__python__maintenance__bugfix__bc999af3,sympy__sympy-13877,python,fail2pass,1.0,1.5,10.0,1901.6666666666667,32,,1659712001810f5fc563a443949f8e3bb38af4bd
Verified,SWE-Bench-Verified__python__maintenance__bugfix__4e7b7c81,django__django-15741,python,pass,1.0,1.0,2.0,189.0,96,,8c0886b068ba4e224dd78104b93c9638b860b398
Verified,SWE-Bench-Verified__python__maintenance__bugfix__6cf8c11d,django__django-16527,python,pass,1.0,1.0,1.0,265.0,107,,bd366ca2aeffa869b7dbc0b0aa01caea75e6dc31
Verified,SWE-Bench-Verified__python__maintenance__bugfix__3185b834,astropy__astropy-14598,python,pass,1.0,2.0,4.0,640.0,7,,80c3854a5f4f4a6ab86c03d9db7854767fcd83c1
Verified,SWE-Bench-Verified__python__maintenance__bugfix__ec975b6c,pydata__xarray-4695,python,pass,1.0,1.0,2.0,320.0,51,,51ef2a66c4e0896eab7d2b03e3dfb3963e338e3c
Verified,SWE-Bench-Verified__python__maintenance__bugfix__2e76c8cd,pallets__flask-5014,python,pass,1.0,1.0,2.0,119.0,102,,7ee9ceb71e868944a46e1ff00b506772a53a4f1d
Verified,SWE-Bench-Verified__python__maintenance__bugfix__42a80be0,scikit-learn__scikit-learn-9288,python,pass,1.0,2.0,6.0,1221.0,85,,3eacf948e0f95ef957862568d87ce082f378e186
Verified,SWE-Bench-Verified__python__maintenance__bugfix__88e1ffd3,psf__requests-1142,python,pass,1.0,1.0,1.0,467.0,61,,22623bd8c265b78b161542663ee980738441c307
